n_hidden_units,step,epoch,batch_size,embedding_size,keep_prob,random_embedding,multi_granined,multi_granined_out,initial_learning_rate,final_learning_rate,AUC
200,4001,,16,200,0.5,True,True,True,0.001,1e-05,0.782495547304
200,4501,,16,200,0.5,True,True,True,0.001,1e-05,0.784081108597
200,5001,,16,200,0.5,True,True,True,0.001,1e-05,0.78450254683
200,5501,,16,200,0.5,True,True,True,0.001,1e-05,0.784550955913
200,6001,,16,200,0.5,True,True,True,0.001,1e-05,0.784514210527
200,6501,,16,200,0.5,True,True,True,0.001,1e-05,0.784578542017
200,7001,,16,200,0.5,True,True,True,0.001,1e-05,0.784556041523
200,7501,,16,200,0.5,True,True,True,0.001,1e-05,0.784937644641
200,8001,,16,200,0.5,True,True,True,0.001,1e-05,0.784637422192
200,8501,,16,200,0.5,True,True,True,0.001,1e-05,0.784712996928
200,9001,,16,200,0.5,True,True,True,0.001,1e-05,0.784617111835
200,9501,,16,200,0.5,True,True,True,0.001,1e-05,0.784556408574
200,10001,,16,200,0.5,True,True,True,0.001,1e-05,0.784798253088
200,501,,32,200,0.5,False,False,False,0.001,1e-05,0.724188732492
200,1001,,32,200,0.5,False,False,False,0.001,1e-05,0.748898421515
200,1501,,32,200,0.5,False,False,False,0.001,1e-05,0.753710153182
200,2001,,32,200,0.5,False,False,False,0.001,1e-05,0.761319415112
200,2501,,32,200,0.5,False,False,False,0.001,1e-05,0.765729090257
200,3001,,32,200,0.5,False,False,False,0.001,1e-05,0.769220848316
200,3501,,32,200,0.5,False,False,False,0.001,1e-05,0.772449810356
200,4001,,32,200,0.5,False,False,False,0.001,1e-05,0.771547878882
200,4501,,32,200,0.5,False,False,False,0.001,1e-05,0.775828233277
200,5001,,32,200,0.5,False,False,False,0.001,1e-05,0.77587732671
200,5501,,32,200,0.5,False,False,False,0.001,1e-05,0.778471356929
200,6001,,32,200,0.5,False,False,False,0.001,1e-05,0.776056546529
200,6501,,32,200,0.5,False,False,False,0.001,1e-05,0.778435918797
200,7001,,32,200,0.5,False,False,False,0.001,1e-05,0.778382356358
200,7501,,32,200,0.5,False,False,False,0.001,1e-05,0.778427421103
200,8001,,32,200,0.5,False,False,False,0.001,1e-05,0.778629775655
200,8501,,32,200,0.5,False,False,False,0.001,1e-05,0.778615601027
200,9001,,32,200,0.5,False,False,False,0.001,1e-05,0.778634896645
200,9501,,32,200,0.5,False,False,False,0.001,1e-05,0.778636060229
200,10001,,32,200,0.5,False,False,False,0.001,1e-05,0.77857789622
200,501,,32,50,0.5,True,False,False,0.001,1e-05,0.755319605024
200,1001,,32,50,0.5,True,False,False,0.001,1e-05,0.774596319463
200,1501,,32,50,0.5,True,False,False,0.001,1e-05,0.77920795585
200,2001,,32,50,0.5,True,False,False,0.001,1e-05,0.782962707986
200,2501,,32,50,0.5,True,False,False,0.001,1e-05,0.787287849535
200,3001,,32,50,0.5,True,False,False,0.001,1e-05,0.791816238254
200,3501,,32,50,0.5,True,False,False,0.001,1e-05,0.793368141238
200,4001,,32,50,0.5,True,False,False,0.001,1e-05,0.793456176252
200,4501,,32,50,0.5,True,False,False,0.001,1e-05,0.794449468951
200,5001,,32,50,0.5,True,False,False,0.001,1e-05,0.794148438053
200,5501,,32,50,0.5,True,False,False,0.001,1e-05,0.794162713963
200,6001,,32,50,0.5,True,False,False,0.001,1e-05,0.79444062392
200,6501,,32,50,0.5,True,False,False,0.001,1e-05,0.794418670059
200,7001,,32,50,0.5,True,False,False,0.001,1e-05,0.794518487458
200,7501,,32,50,0.5,True,False,False,0.001,1e-05,0.794516209815
